date,holiday
2016-01-01,New Years Day
2016-01-18,Martin Luther King Jr. Day
2016-02-15,Presidents' Day
2016-05-30,Memorial Day
2016-07-04,Independence Day
2016-09-05,Labor Day
2016-11-24,Thanksgiving Day
2016-12-26,Christmas Day
2017-01-02,New Years Day
2017-01-16,Martin Luther King Jr. Day
2017-02-20,Presidents' Day
2017-05-29,Memorial Day
2017-07-04,Independence Day
2017-09-04,Labor Day
2017-11-23,Thanksgiving Day
2017-12-25,Christmas Day
2018-01-01,New Years Day
2018-01-15,Martin Luther King Jr. Day
2018-02-19,Presidents' Day
2018-05-28,Memorial Day
2018-07-04,Independence Day
2018-09-03,Labor Day
2018-11-22,Thanksgiving Day
2018-12-25,Christmas Day
2019-01-01,New Years Day
2019-01-21,Martin Luther King Jr. Day
2019-02-18,Presidents' Day
2019-05-27,Memorial Day
2019-07-04,Independence Day
2019-09-02,Labor Day
2019-11-28,Thanksgiving Day
2019-12-25,Christmas Day

